"Date   : 29-07-20 [10:21, Asi]                        Open Entries by Business Partner                                                                                Page      :    1",,,,,,,,,,,,
Obeikan FLEXIBLE                                                                                                                                                      Company   : 103,,,,,,,,,,,,
Company              From : 000           To   : 999         Business Partner Gr.     From :       To   : ннн       Credit Analyst       From :           To   : ннннннннн,,,,,,,,,,,,
Business Partner     From : CMA045        To   : CMA045      Transaction Type         From :       To   : ннн,,,,,,,,,,,,
Document             From :        0      To   : 99999999    Home Currency                 : SAR Saudi Riyal,,,,,,,,,,,,
Based  on                   Document Date                    Print Parent/Child Relation   : No Parent                 Doubtful Invoices                      : No,,,,,,,,,,,,
Invoice Date         From :               To   : 29-07-2020  Text                          : No                        Print Payment/Receipt Documents        : No,,,,,,,,,,,,
Receipt Date         From :               To   : 29-07-2020  Include Anticipated Payments in Invoice Balance         : No              From    : Not Applicable,,,,,,,,,,,,
Order Related Invoices    : No       None,,,,,,,,,,,,
Order Related Credit Notes: No                               Include Trade Notes in Invoice Balance                  : No              From    : Not Applicable,,,,,,,,,,,,
Cost Invoices             : No                               Anticipated Payments                                    : No              From    : Not Applicable,,,,,,,,,,,,
Cost Credit Notes         : No                               Trade Notes                                             : No              From    : Not Applicable,,,,,,,,,,,,
Normal Invoices           : Yes                              Unallocated Receipts          : Yes,,,,,,,,,,,,
Credit Notes              : Yes                              Advance Receipts              : Yes,,,,,,,,,,,,
Include Fully Paid        : No                               Include Advance Invoice/Payment Request           : Yes,,,,,,,,,,,,
Anticipated Receipts      : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Trade Notes               : No                               From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Anticipated Receipts in Invoice Balance    : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Include Trade Notes in Invoice Balance             : No      From Receipt Procedure Step    : Not Applicable,,,,,,,,,,,,
Sort By         Dimension Type            :  1,,,,,,,,,,,,
____________________________________________________________________________________________________________________________________________________________________________________________,,,,,,,,,,,,
Document                 ,Sales Type  ,Doc. Date   ,Due Date    ,Ovd  ,Prob,Curr.,          Amount,     Amount In SAR,   Balance Amount,  Balance in HC SAR,Customer Invoice/Pmt Doc Type,
Sales Invoices        Business Partner    : CMA045               AL MARAI BABY FOOD FACTORY,,,,,,,,,,,,
                                                                 PO BOX 8524                          PO BOX 8524,,,,,,,,,,,,
Company              : 103,,,,,,,,,,,,
ISI 21931893   0        0,1, 11-09-2019 , 10-12-2019 ,232,    , SAR ,"47,864.09","47,864.09","47,864.09","47,864.09",                    ,D01061285
ISI 22031074   0        0,1, 10-05-2020 , 08-08-2020 ,     ,    , SAR ,"28,203.00","28,203.00","28,203.00","28,203.00",                    ,D01064927
"               Sales Invoices          TOTAL FOR BUSINESS PARTNER     CMA045                                76,067.09                             76,067.09",,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"76,067.09",                  ,"76,067.09",,,,,,,,
                                                                                                   ------------------                    ------------------,,,,,,,,,,,,
"                                                                            TOTAL                           76,067.09                             76,067.09",,,,,,,,,,,,
                                                                                                   ==================                    ==================,,,,,,,,,,,,
                                       Total for Currency                  , SAR ,"76,067.09",                  ,"76,067.09",,,,,,,,
