INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-22030023,7600000392,13-Jan-20,68056.18,2-Apr-20,Paid,SAR,
ISI-22030529,,3-Mar-20,36254.13,4-Jun-20,Paid,SAR,
ISI-22030282,7600000426,12-Feb-20,53413.99,30-Apr-20,Paid,SAR,
ISI-22031592,7600000426,24-Mar-20,66360,4-Jun-20,Paid,SAR,
ISI-22030695,7600000426,26-Mar-20,16590,4-Jun-20,Paid,SAR,
ISI-22030763,7600000426,26-Mar-20,13272,4-Jun-20,Paid,SAR,
ISI-22030997,7600000455,28-Apr-20,18000.15,30-Jun-20,Paid,SAR,
ISI-21932666,,8-Dec-19,13267.28,5-Mar-20,Paid,SAR,
ISI-21932662,,4-Dec-19,8976.24,5-Mar-20,Paid,SAR,
ISI-21932667,,8-Dec-19,33660.9,5-Mar-20,Paid,SAR,
ISI-21932668,,8-Dec-19,110094.15,5-Mar-20,Paid,SAR,
ISI-21932670,,8-Dec-19,22156.5,5-Mar-20,Paid,SAR,
ISI-21932669,,8-Dec-19,21433.65,5-Mar-20,Paid,SAR,
ISI-21932790,,23-Dec-19,40019.07,5-Mar-20,Paid,SAR,
ISI-21932791,,23-Dec-19,111828.99,5-Mar-20,Paid,SAR,
ISI-21932798,,23-Dec-19,45247.3,5-Mar-20,Paid,SAR,
ISI-21932732,,19-Dec-19,42453.01,5-Mar-20,Paid,SAR,
ISI-21932735,,19-Dec-19,29195.79,5-Mar-20,Paid,SAR,
ISI-21932736,,19-Dec-19,29362.66,5-Mar-20,Paid,SAR,
ISI-21932742,,19-Dec-19,44950.24,5-Mar-20,Paid,SAR,
ISI-21932789,,23-Dec-19,33350.18,5-Mar-20,Paid,SAR,
ISI-21932744,,19-Dec-19,33660.9,5-Mar-20,Paid,SAR,
ISI-21932688,,11-Dec-19,14071.64,5-Mar-20,Paid,SAR,
ISI-21932920,,31-Dec-19,39173.23,5-Mar-20,Paid,SAR,
ISI-21932923,,31-Dec-19,33660.9,5-Mar-20,Paid,SAR,
ISI-21932924,,31-Dec-19,27682.49,5-Mar-20,Paid,SAR,
ISI-22030055,,19-Jan-20,26339.04,2-Apr-20,Paid,SAR,
ISI-22030056,,19-Jan-20,42873.94,2-Apr-20,Paid,SAR,
ISI-22030057,,19-Jan-20,20727.22,2-Apr-20,Paid,SAR,
ISI-22030054,,19-Jan-20,42034.12,2-Apr-20,Paid,SAR,
ISI-22030101,8700002611,23-Jan-20,23412.48,2-Apr-20,Paid,SAR,
ISI-22030097,8700002611,23-Jan-20,32375.07,2-Apr-20,Paid,SAR,
ISI-22030098,8700002611,23-Jan-20,109380.18,2-Apr-20,Paid,SAR,
ISI-22030058,8700002611,19-Jan-20,42588.48,2-Apr-20,Paid,SAR,
ISI-22030059,8700002611,19-Jan-20,14566.23,2-Apr-20,Paid,SAR,
ISI-22030100,8700002611,23-Jan-20,32902.69,2-Apr-20,Paid,SAR,
ISI-22030099,8700002611,23-Jan-20,31404.24,2-Apr-20,Paid,SAR,
MSI-22030006,4502139002,31-Jan-20,40320,2-Apr-20,Paid,SAR,
ISI-22030401,8700002683,24-Feb-20,10974.6,30-Apr-20,Paid,SAR,
ISI-22030339,8700002643,19-Feb-20,22033.62,30-Apr-20,Paid,SAR,
ISI-22030340,8700002673,19-Feb-20,25871.91,30-Apr-20,Paid,SAR,
ISI-22030373,8700002611,20-Feb-20,10974.6,30-Apr-20,Paid,SAR,
ISI-22030286,8700002611,13-Feb-20,6802.84,30-Apr-20,Paid,SAR,
ISI-22030391,8700002657,24-Feb-20,11286.95,30-Apr-20,Paid,SAR,
ISI-22030394,8700002657,24-Feb-20,7305.14,30-Apr-20,Paid,SAR,
ISI-22030398,8700002666,24-Feb-20,10932.39,30-Apr-20,Paid,SAR,
ISI-22030399,8700002666,24-Feb-20,4034.57,30-Apr-20,Paid,SAR,
ISI-22030262,8700002611,10-Feb-20,16715.16,30-Apr-20,Paid,SAR,
ISI-22030335,8700002611,19-Feb-20,14309.19,30-Apr-20,Paid,SAR,
ISI-22030336,8700002611,17-Feb-20,14857.92,30-Apr-20,Paid,SAR,
ISI-22030337,8700002611,19-Feb-20,57191.03,30-Apr-20,Paid,SAR,
ISI-22030338,8700002611,19-Feb-20,48555.57,30-Apr-20,Paid,SAR,
ISI-22030454,8700002657,27-Feb-20,5220.67,30-Apr-20,Paid,SAR,
ISI-22030393,8700002657,24-Feb-20,7851.06,30-Apr-20,Paid,SAR,
ISI-22030362,8700002611,20-Feb-20,41728.8,30-Apr-20,Paid,SAR,
